2024-01-17 15:11:43.336 [info] Extension host with pid 20170 started
2024-01-17 15:11:43.336 [info] Skipping acquiring lock for /home/adam/.config/Code - OSS/User/workspaceStorage/c12abfa1f913b84d64c683a4b1aa6cbb.
2024-01-17 15:11:43.349 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2024-01-17 15:11:43.359 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2024-01-17 15:11:43.417 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-01-17 15:11:43.465 [info] Eager extensions activated
2024-01-17 15:11:43.481 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-01-17 15:11:43.482 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-01-17 15:11:43.496 [info] ExtensionService#_doActivateExtension Catppuccin.catppuccin-vsc, startup: false, activationEvent: 'onStartupFinished'
2024-01-17 15:11:43.502 [info] ExtensionService#_doActivateExtension sainnhe.gruvbox-material, startup: false, activationEvent: 'onStartupFinished'
2024-01-17 15:11:46.655 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-01-17 15:11:47.451 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2024-01-17 15:11:47.460 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2024-01-17 15:11:47.509 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onLanguage:json'
2024-01-17 15:13:29.277 [info] ExtensionService#_doActivateExtension brunnerh.insert-unicode, startup: false, activationEvent: 'onCommand:insert-unicode.insertText'
2024-01-17 15:36:53.882 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
